DDO13           12.14 40  24 0.00 -15.72 26.0  1.77 6.7  8.92  2.73 -1.4 N628    
KK13             1.42 57  14 0.00 -13.11 24.0  0.40 6.8  7.54  1.28  1.0 N672    
KDG10            3.40 49  17 0.00 -13.53 25.4  1.29 6.8  8.05  2.78 -0.1 N628    
KK14             2.93 71  13 0.00 -12.13 26.5  2.96 6.7  7.75  5.08  2.0 N672    
E245-05          4.85 28  58 0.02 -15.59 24.1  1.36 7.3  9.28  7.13 -0.7 N253    
KK15             1.08 74   6 0.00 -11.43 25.1  1.67 7.0  6.71  0.88  2.1 N672    
I1727           12.64 72  55 0.14 -17.71 24.1  0.78 7.1  9.65  2.36  4.2 N672    
N672            13.19 69 100 0.46 -18.76 23.2  0.35 7.1 10.19  3.10  3.8 I1727   
U1281            5.23 80  53 0.21 -16.04 23.9  0.60 7.1  9.24  4.28 -1.2 N784    
Phoenix          0.59 33  10 0.00 -10.22 24.9  0.03 5.4  6.81  3.42  0.8 MilkyWay
KK16             0.96 71   8 0.00 -12.37 23.9  0.27 6.7  6.87  0.53 -0.4 N784    
KK17             0.75 62   5 0.00 -11.41 24.3  0.36 6.7  6.30  0.35 -0.3 N784    
N784             7.55 79  41 0.00 -16.59 24.1  0.52 6.9  9.18  2.23 -1.5 U1281   
Cas1             4.99 41  34 0.00 -16.70 23.1  0.17 6.8  8.82  0.88  0.5 I342    
N855             6.47 71  54 0.12 -17.07 23.3  0.07 6.3  9.34  2.08 -0.8 N925    
N891            30.80 78 220 1.07 -20.59 23.2  0.10 6.6 11.24  6.45 -1.2 N925    
KKH11            1.68 59  47 0.03 -13.35 24.1  1.42 7.3  8.64 12.84  1.0 Maffei2 
KKs3             2.60 69     0.00 -12.28 26.1                       -0.3 N1313   
N925            28.60 56 110 0.29 -19.88 23.7  0.40 6.9 10.60  2.87 -0.9 N891    
KKH12            2.36 78  23 0.00 -13.03 25.2  1.36 6.9  8.18  5.95  1.6 Maffei1 
MB1              4.22 65  24 0.00 -14.81 24.6  0.13 6.1  8.45  2.19  4.4 Maffei1 
Maffei1          6.25 33     0.00 -18.97 21.3                        2.7 MB1     
E115-21          6.83 83  51 0.18 -15.30 25.2  2.38 7.1  9.31 10.01 -0.6 N1313   
Fornax           1.17 40     0.00 -11.50 25.2  0.00 3.2              2.3 MilkyWay
Maffei2         11.96 62 163 0.49 -20.15 21.6  0.03 6.7 10.57  2.07  1.9 Dw1     
Dw2              2.10 69  43 0.00 -14.55 23.4  1.97 7.8  8.65  4.32  2.5 MB3     
MB3              3.56 76   5 0.00 -13.65 25.4  0.05 5.3  7.01  0.23  2.9 Dw2     
E154-23          9.79 82  55 0.24 -16.40 24.9  1.91 7.2  9.54  6.19 -1.3 N1311   
Dw1              5.56 51 109 0.21 -18.78 21.3  0.07 7.2  9.89  1.52  2.5 Maffei2 
N1156            8.86 32  52 0.02 -17.70 23.3  0.46 7.1  9.45  1.50 -1.7 N925    
KKH18            0.96 57  17 0.00 -12.39 23.8  0.99 7.3  7.48  2.17 -1.6 I342    
N1313           11.45 37 116 0.12 -19.02 22.6  0.29 7.3 10.25  2.84 -1.6 KK27    
N1311            3.95 80  49 0.11 -15.72 23.6  0.17 6.6  9.05  3.70 -1.0 E154-23 
U2684            3.36 62  40 0.00 -13.37 25.6  2.84 7.0  8.79 17.53  0.2 U2716   
KK27             1.19 74     0.00 -11.83 24.9                        1.3 N1313   
U2716            3.04 57  23 0.00 -15.01 23.7  0.43 7.0  8.26  1.16 -0.4 U2684   
U2773            3.00 42  52 0.03 -16.12 22.6  0.43 7.4  8.97  2.14 -1.6 I342    
I1959            4.21 82  58 0.24 -16.06 23.4  0.31 7.0  9.22  4.00 -1.9 N253    
KK35             3.57 48  18 0.00 -14.30 24.8  0.02 5.3  8.15  1.74  2.4 I342    
I342            32.71 25 162 0.07 -20.69 23.2  0.42 7.2 11.00  3.41 -0.1 KK35    
U2905            2.02 55  26 0.00 -14.41 23.4  0.20 6.8  8.19  1.71 -2.1 M31     
UA86             7.47 48  50 0.03 -17.71 23.0  0.26 7.1  9.33  1.14  0.3 I342    
I2038            2.63 77  50 0.12 -14.42 24.0  3.03 7.7  8.88  8.38 -2.2 N253    
CamA             4.58 57  23 0.00 -14.06 25.6  2.52 7.0  8.44  4.17  0.1 I342    
N1569            3.34 61  37 0.00 -18.17 20.8  0.02 6.9  8.74  0.19 -0.4 UA92    
UA92             1.85 62  39 0.00 -14.48 23.2  0.83 7.5  8.51  3.33  1.1 N1569   
N1560            7.96 82  56 0.27 -16.87 23.9  1.43 7.4  9.46  3.30  1.0 I342    
CamB             2.26 62   5 0.00 -11.85 26.2  1.53 6.5  6.77  0.69  1.0 I342    
N1705            2.67 43  61 0.06 -15.86 22.6  0.14 6.9  9.06  3.32 -1.7 N1313   
UA105            6.10 51  67 0.11 -16.81 23.4  0.39 7.0  9.50  3.84  0.3 I342    
LMC              9.75 32  54 0.02 -17.93 23.3  0.25 6.9  9.52  1.41  3.6 MilkyWay
U3303            8.06 39 116 0.13 -16.03 24.8  0.89 6.8 10.10 31.40 -1.8 Orion   
KK49             1.65 46  34 0.00 -14.94 22.5  0.38 7.4  8.34  1.48 -2.0 Orion   
Orion            6.19 62  81 0.25 -17.04 23.2  0.73 7.4  9.67  4.59 -2.2 U3303   
A0554+07         1.13 69  23 0.00 -12.85 23.7  0.93 7.3  7.86  3.35 -1.7 KK49    
KKH34            1.34 58   9 0.00 -12.30 24.7  0.92 6.9  7.11  1.00 -0.8 M81     
E364-29          7.61 46  40 0.00 -16.04 24.7  0.54 6.7  9.15  3.49 -2.6 N253    
E121-20          1.69 46  40 0.00 -12.49 25.0  3.98 7.4  8.50 20.53 -1.6 N1313   
E489-56          0.80 62   9 0.00 -13.07 22.8  0.46 7.4  6.85  0.27 -2.1 M31     
U3476            1.98 77  38 0.00 -14.27 23.5  1.79 7.7  8.51  4.13 -2.2 N2683   
E490-17          2.12 42  26 0.00 -14.46 23.5  0.29 6.9  8.24  1.82 -1.9 M31     
KK55             1.54 52  29 0.00 -13.71 23.5  0.37 7.0  8.16  3.06 -2.6 E364-29 
Carina           0.69 49     0.00  -8.97 26.5                        2.7 MilkyWay
KKSG9            1.33 47 117 0.19 -14.00 22.9  4.25 8.3  9.32 34.01 -1.7 E558-11 
KKH 37           0.97 49   6 0.00 -11.17 25.1  0.69 6.6  6.54  0.76 -0.3 I342    
U3600            2.63 72  39 0.00 -13.53 24.9  1.71 7.1  8.67 11.61 -1.9 N2683   
HIZSS03          1.85 55  35 0.00 -12.19 25.5  1.27 6.7  8.43 22.88 -0.6 M31     
FG202            4.63 64  38 0.00 -14.01 25.6  2.37 6.9  8.90 12.64 -2.0 N1313   
E558-11          4.52 57  61 0.11 -16.51 23.1  0.13 6.7  9.29  3.10 -2.5 M31     
U3698            2.06 55  20 0.00 -14.30 23.6  0.75 7.3  7.96  1.13 -1.5 N2337   
N2337            4.69 42  95 0.12 -16.51 23.2  0.93 7.5  9.70  7.92 -1.9 N2683   
U3755            2.51 55  16 0.00 -14.90 23.4  0.30 6.9  7.88  0.54 -2.1 M31     
U3817            4.29 62  16 0.00 -14.15 25.3  2.43 7.1  8.12  1.85 -1.7 N2337   
DDO43            2.89 48  19 0.00 -14.75 23.9  1.32 7.4  8.10  1.03 -1.5 N2337   
N2366            5.71 72  45 0.02 -16.02 24.1  1.76 7.4  9.12  3.29  1.0 N2403   
E059-01          2.27 37  81 0.07 -14.38 23.7  0.42 7.0  9.24 19.93 -1.5 Circinus
DDO44            2.67 49     0.00 -12.07 26.4                        1.7 N2403   
N2403           19.43 56 128 0.34 -19.29 23.5  0.45 7.1 10.57  4.59 -0.0 M81     
DDO46            3.68 20  90 0.02 -15.01 24.1  1.74 7.4  9.54 22.29 -1.5 N2683   
DDO47            4.65 33  46 0.01 -15.10 24.6  2.80 7.4  9.06  6.70 -2.1 N2683   
KK65             1.08 58  18 0.00 -13.15 23.3  0.44 7.1  7.62  1.48 -2.0 M31     
U4115            2.62 58  43 0.01 -13.59 24.8  3.46 7.4  8.76 13.50 -1.7 DDO47   
N2537            3.49 29  88 0.05 -16.65 22.4  0.15 7.0  9.50  4.38 -1.4 N2683   
HoII             7.78 31  56 0.02 -16.72 24.0  1.29 7.3  9.45  3.75  0.6 M81     
E006-01          2.54 25     0.00 -14.86 23.5                       -2.4 N4945   
KDG52            1.35 24  15 0.00 -11.49 25.5  2.15 7.0  7.57  5.98  0.7 M81     
DDO52            2.98 62  42 0.00 -13.67 25.0  1.49 7.0  8.78 13.11 -1.5 N2683   
DDO53            1.67 30  17 0.00 -13.37 24.1  1.19 7.3  7.73  1.56  0.7 M81     
U4483            1.04 56  16 0.00 -12.73 23.7  1.69 7.6  7.49  1.60  0.5 M81     
N2683           16.18 82 205 1.19 -20.43 21.9  0.03 6.6 10.90  3.44  0.2 KK69    
KK69             4.34 42   5 0.00 -12.76 26.7  1.98 6.4  7.10  0.64  3.2 N2683   
KK70             1.10 38     0.00 -11.86 24.7                        2.8 N2683   
D564-08          0.99 46  30 0.00 -11.76 24.5  1.55 7.2  8.01 13.07 -1.9 N2683   
KKH46            1.17 31  16 0.00 -11.93 24.7  2.23 7.3  7.55  3.87 -2.0 N2903   
D634-03          0.28 29  29 0.00  -9.56 24.0            7.43 25.68 -1.3 M31     
KK71             1.27 40     0.00 -12.03 24.8                        1.5 N2784   
DDO56            4.08 41  52 0.03 -15.07 24.3  0.42 6.7  9.10  7.62  1.2 N2784   
KK72             1.94 35     0.00 -12.76 25.0                        3.3 N2784   
N2784dw1         3.01 28     0.00 -13.58 25.1                        4.3 N2784   
N2784           15.86 69     0.00 -19.72 22.6                        2.0 KK73    
KK73             2.47 53     0.00 -14.46 23.8                        4.1 N2784   
E564-30          3.86 54  68 0.13 -14.27 25.0  6.24 7.6  9.32 26.19 -2.0 N3115   
N2787            7.13 52 214 0.39 -18.50 22.1  0.03 6.4 10.58  9.71 -1.9 M81     
D565-06          1.11 31   5 0.00 -11.88 24.6  0.23 6.3  6.51  0.36 -1.8 N2683   
E565-03          1.29 49  16 0.00 -14.14 22.7  0.30 7.2  7.59  0.55 -1.8 N3115   
N2915            2.35 60  69 0.16 -16.04 22.1  0.72 7.8  9.12  3.23 -1.3 Circinus
KKH51            1.80 38  14 0.00 -12.92 24.7  0.65 6.8  7.60  1.73  1.6 N2903   
N2903           28.94 63 198 0.60 -21.00 22.6  0.11 6.8 11.12  3.36  1.8 U5086   
U5086            2.61 26     0.00 -13.95 24.4  0.76 6.9              4.6 N2903   
HoI              4.03 37  18 0.00 -14.49 24.8  1.38 7.0  8.20  1.62  1.5 M81     
U5186            1.97 83  18 0.00 -12.98 24.8  0.70 6.7  7.88  3.10 -1.0 N2683   
F8D1             2.58 25     0.00 -12.59 25.8                        2.0 M81     
U5209            1.77 17  34 0.00 -13.15 24.4  0.41 6.7  8.38  8.43 -1.1 N2683   
FM1              0.93 28     0.00 -10.48 25.7                        1.8 M82     
N2976            5.57 63  48 0.05 -17.10 22.9  0.17 6.9  9.17  1.38  2.7 M81     
KK77             2.61 42     0.00 -12.03 26.4                        2.0 M81     
KK78             0.95 55     0.00 -11.67 24.5                        4.2 DDO64   
DDO64            3.65 71  38 0.00 -13.95 25.2  2.70 7.2  8.80 10.63  3.3 KK78    
U5288            2.41 53  51 0.05 -14.74 23.5  2.22 7.8  8.87  6.03 -1.6 N2903   
BK3N             0.60 38   5 0.00  -9.59 25.6            6.24  1.64  1.0 M81     
KKSG15           2.84 83  24 0.00 -14.97 23.6  0.39 7.0  8.28  1.24  0.7 N3115   
M81             26.85 61 232 0.59 -21.06 22.4  0.07 6.7 11.22  4.07  2.2 M82     
M82             10.93 69  70 0.26 -19.63 21.9  0.07 6.9  9.80  0.57  2.7 M81     
DDO68            3.86 71  36 0.00 -14.33 24.9  1.85 7.1  8.77  7.07 -1.6 N3344   
KDG61            2.40 56     0.00 -12.85 25.4                        3.9 M81     
A0952+69         2.14 26     0.00 -11.51 26.5                        1.9 N3077   
HoIX             2.77 38  50 0.02 -13.68 24.8 11.03 7.9  8.90 17.37  3.3 M81     
LeoA             0.94 54   4 0.00 -11.36 24.8  0.98 6.9  6.14  0.25  0.2 MilkyWay
KKSG16           2.58 40     0.00 -12.24 26.1                        1.1 N3115   
SexB             1.93 48  22 0.00 -13.96 23.8  0.78 7.2  8.02  1.76 -0.7 MilkyWay
KKH57            0.67 35     0.00 -10.19 25.3                        0.7 M81     
KKSG17           3.05 86  21 0.00 -14.69 24.0  0.37 6.8  8.21  1.39  2.0 N3115   
UA193            7.38 90  58 0.43 -15.70 25.0  1.59 7.0  9.45  9.60  1.3 N3115   
N3109            5.81 86  51 0.17 -15.68 24.4  2.35 7.4  9.25  6.09 -0.1 Antlia  
N3077            6.14 35  51 0.02 -17.76 22.5  0.32 7.3  9.26  0.93  1.9 M81     
Antlia           0.78 42   9 0.00  -9.75 26.0  1.02 6.4  6.87  6.02  2.3 N3109   
U5427            2.34 48  46 0.02 -14.48 23.7  0.32 6.9  8.76  5.99 -1.2 N3344   
BK5N             0.87 42     0.00 -10.61 25.4                        2.4 N3077   
KDG63            1.84 29   6 0.00 -12.12 25.5            6.87  0.68  1.8 M81     
N3115           17.13 73 115 0.55 -20.82 21.7  0.00 5.3 10.42  0.80  1.9 KKSG18  
U5423            1.37 49  25 0.00 -14.54 22.5  0.25 7.2  8.00  0.99 -0.9 M81     
KK84             3.43 48     0.00 -13.60 25.4                        4.5 N3115   
KKSG18           4.25 38     0.00 -16.55 22.9  0.01 5.8              3.6 N3115   
KDG64            1.85 64     0.00 -12.57 25.1                        2.5 M81     
U5456            1.60 62  31 0.00 -14.24 23.1  0.13 6.7  8.24  2.26 -1.8 M31     
IKN              3.19 33     0.00 -11.44 27.4                        2.7 M81     
LeoI             0.70 42     0.00 -10.97 24.6                        1.5 MilkyWay
SexA             2.27 35  49 0.01 -13.95 24.1  1.45 7.3  8.80 10.74 -0.6 MilkyWay
SexdSph          0.68 69     0.00  -7.98 27.5                        2.8 MilkyWay
KKH60            0.32 58     0.00  -7.97 25.8                       -0.8 SexB    
HIJASS                       0.00  -7.93                             2.2 M81     
HS117            1.61 55   5 0.00 -11.83 25.5            6.67  0.56  1.9 M81     
KKSG19           1.09 31  20 0.00 -12.09 24.4  1.97 7.3  7.70  4.72 -2.0 N3621   
DDO78            2.20 19     0.00 -12.17 25.8                        1.8 M81     
U5672            2.61 78  37 0.00 -14.65 23.7  0.22 6.7  8.62  3.70 -0.7 N3344   
I2574           13.35 68  55 0.12 -17.46 24.5  1.13 7.1  9.67  3.11  0.9 M81     
DDO82            3.70 55     0.00 -14.63 24.5                        0.9 M81     
LeG01            1.41 55     0.00 -11.53 25.5                        0.3 N3299   
N3274            3.50 62  80 0.24 -16.16 22.9  1.20 7.8  9.41  5.74 -0.3 N3344   
LeG02            0.92 19     0.00 -11.12 25.0                        0.1 N3368   
BK6N             1.14 52     0.00 -11.08 25.5                        1.1 M81     
LeG03            2.54 82     0.00 -12.40 25.9                       -0.1 N3368   
N3299            6.46 40  83 0.09 -16.99 23.4  0.08 6.3  9.71  5.28  0.5 N3368   
LeG04            1.62 62     0.00 -11.51 25.9                        2.0 FS01    
FS01             1.91 60     0.00 -13.43 24.3                        1.2 LeG04   
P031727          1.72 51  13 0.00 -11.94 25.5  1.51 6.8  7.50  3.41  0.5 N3368   
U5812            3.86 69  26 0.00 -15.09 24.2  0.22 6.5  8.50  1.86  1.2 N3368   
P031877          3.44 65  23 0.00 -14.50 24.5  0.24 6.4  8.31  2.09  1.5 N3368   
LeG09            2.39 35     0.00 -11.70 26.5                        1.7 N3368   
N3344           14.16 26 155 0.07 -19.03 23.0  0.33 7.1 10.60  6.25 -1.5 N3274   
LeG10            0.31 19     0.00 -11.00 22.7                        2.1 N3368   
N3351           20.53 48 168 0.28 -19.88 23.0  0.05 6.3 10.83  4.81  0.8 N3368   
LeG11            1.52 26     0.00 -11.43 25.8                        0.0 N3368   
LeG12            0.59 38     0.00 -11.12 24.1                        2.2 N3368   
FS09             1.05 66     0.00 -12.76 23.7                        2.8 N3368   
FS13             1.20 29     0.00 -11.49 25.2                        1.6 N3368   
FS14             1.83 24     0.00 -11.92 25.7                        0.8 N3412   
FS15             1.23 12     0.00 -11.20 25.6                        4.3 N3368   
FS17             2.06 40     0.00 -13.21 24.7                        2.6 N3368   
N3368           21.82 48 216 0.33 -20.42 22.6  0.04 6.4 11.07  5.15  0.6 FS15    
LeG18            2.33 42  15 0.00 -11.29 26.9  1.51 6.3  7.81 12.59  2.5 FS20    
FS20             1.44 47     0.00 -11.99 25.1                        2.2 LeG18   
FS21             2.41 33  24 0.00 -12.72 25.5  2.12 6.9  8.20  8.27  2.4 LeG21   
LeG21            1.17 42     0.00 -11.62 25.0                        2.9 FS21    
DDO88            6.08 19  58 0.01 -15.75 24.5  0.40 6.6  9.38  7.73 -0.5 N3351   
FS23             1.18 42     0.00 -12.45 24.2                        1.2 N3412   
P32250           2.68 83  24 0.00 -14.18 24.3  0.80 7.0  8.27  2.55 -1.0 N3621   
N3377           15.27 56     0.00 -19.10 23.1                        0.8 N3379   
N3379           17.46 28     0.00 -20.10 22.4                        1.0 N3384   
N3384           15.91 66  18 0.00 -19.55 22.8  0.01 5.5  8.78  0.06  1.2 N3379   
P032327          0.59 38  46 0.01 -12.70 22.5  0.75 7.7  8.17  7.91  2.3 N3368   
P032348          3.27 62     0.00 -14.76 24.1                        1.3 N3412   
DDO87            5.11 26  64 0.02 -14.42 25.4  1.17 6.7  9.38 26.46 -1.5 N2787   
FS40             1.72 50     0.00 -12.22 25.3                        2.0 N3368   
P1424345         0.31 26     0.00 -10.24 23.5                        2.5 N3412   
LeG23            0.92 19     0.00 -11.13 25.0                        3.3 N3412   
U5944            3.40 14     0.00 -15.42 23.6                        3.2 N3412   
KK96             2.96 38     0.00 -11.90 26.8                        1.7 N3368   
N3412            9.94 58     0.00 -18.76 22.5                        1.9 U5944   
LeG26            2.72 28     0.00 -12.99 25.5                        1.8 N3412   
LeG27            1.14 49     0.00 -11.58 25.0                        0.7 N3412   
KDG73            0.63 35   5 0.00 -10.83 24.5  0.96 7.0  6.26  0.55  1.3 M81     
LeG28            1.62 62     0.00 -11.90 25.5                        0.8 N3368   
D640-16          0.89 35     0.00 -11.59 24.5                        1.1 N3489   
D640-12          2.14 62     0.00 -11.77 26.2                        0.7 N3368   
D640-13          1.92 57     0.00 -12.51 25.2                        0.7 N3368   
E215-09          2.56 55  28 0.00 -12.93 25.4 11.75 7.7  8.37 10.06 -0.9 N4945   
D640-14          1.69 50     0.00 -11.66 25.8                        0.5 N3489   
LeG32            1.16 42     0.00 -11.48 25.2                        1.2 N3489   
N3489            9.60 57 172 0.42 -19.45 21.8  0.00 5.5 10.52  3.53  1.5 D640-08 
LeG33            1.36 58     0.00 -11.57 25.4                        3.0 N3489   
D640-08          3.30 56     0.00 -13.20 25.7                        4.0 N3489   
LeG35            1.63 62     0.00 -12.15 25.2                       -0.4 N3627   
CGCG66-109       3.35 78     0.00 -14.45 24.5                        0.3 N3489   
U6145            3.31 64  27 0.00 -13.14 25.8  0.92 6.5  8.46 10.34 -1.7 N4594   
LeoII            0.73 24     0.00  -9.23 26.4                        1.7 MilkyWay
N3593            9.00 67  96 0.36 -17.77 23.3  0.05 6.2  9.98  4.79 -1.7 N3344   
N3621           22.05 64 138 0.51 -19.81 23.2  0.63 7.3 10.69  3.72 -1.9 N4594   
N3627           23.98 65 178 0.59 -21.14 22.1  0.01 6.0 10.95  2.00 -0.7 N3489   
U6456            1.72 60   7 0.00 -14.03 23.5  0.98 7.4  7.00  0.16 -0.3 M81     
U6541            1.44 57  13 0.00 -13.71 23.4  0.23 6.8  7.46  0.61 -0.7 M81     
N3738            3.52 44  50 0.03 -16.61 22.4  0.18 7.1  9.00  1.47 -1.0 M81     
N3741            1.60 58  42 0.00 -13.13 24.2  4.07 7.8  8.52 11.84 -0.8 M81     
E320-14          2.12 52   5 0.00 -13.26 24.7  0.49 6.6  6.85  0.22 -1.2 N5128   
KK109            0.74 49   4 0.00  -9.73 25.9  2.72 6.9  6.09  1.01 -0.6 N4244   
DDO99            2.64 71  16 0.00 -13.52 24.9  1.30 7.0  7.91  2.05 -0.5 N4214   
E379-07          1.68 44  38 0.00 -12.31 25.1  1.26 6.9  8.45 21.61 -1.3 N5128   
BTS 76           0.51 55     0.00 -12.60 22.2                       -1.2 N4826   
N4068            4.34 60  26 0.00 -15.48 24.0  0.81 7.1  8.53  1.39 -1.0 N4736   
MCG6-27-17       0.89 76     0.00 -12.97 23.1                        0.6 N4244   
N4144           12.89 79  68 0.39 -18.25 23.6  0.35 6.9  9.84  2.26 -0.9 N4460   
N4163            1.96 34  21 0.00 -14.24 23.5  0.37 7.0  8.00  1.29  0.1 N4190   
KK127            0.37 69  17 0.00 -10.59 23.6  0.43 7.0  7.10  4.67 -0.8 M31     
N4190            1.73 29  41 0.00 -14.33 23.2  0.80 7.5  8.53  4.08  0.0 N4163   
E321-014         1.19 67   9 0.00 -12.70 24.0  0.37 6.8  7.06  0.62 -0.3 N5128   
U7242            2.03 68  29 0.00 -13.65 24.2  0.70 7.0  8.30  4.48  0.4 N4236   
DDO113           1.24 30     0.00 -11.67 25.1                        1.6 N4214   
N4214            7.05 40  43 0.00 -17.19 23.4  0.56 7.2  9.18  1.29 -0.7 DDO113  
MCG9-20-131      0.95 77     0.00 -12.46 23.7                       -0.7 M81     
U7298            1.22 58   8 0.00 -12.27 24.5  1.61 7.2  6.97  0.75 -0.7 N4449   
N4236           23.58 73  76 0.35 -18.59 24.6  0.67 6.8 10.20  3.73 -0.4 M81     
N4244           16.60 85  93 0.92 -18.60 23.8  0.47 7.0 10.23  3.94 -0.0 N4736   
I3104            3.07 64  20 0.00 -14.85 23.9  0.11 6.3  8.13  1.00 -0.5 Circinus
N4258           35.61 69 215 0.81 -21.25 22.8  0.13 6.8 11.28  3.91 -0.7 N5194   
U7356            1.78  8     0.00 -13.46 24.1                       -0.3 N4258   
I3308            1.13 84  57 0.32 -12.91 23.7  1.89 7.6  8.63 18.83 -1.1 N4736   
KK144            2.24 74  20 0.00 -12.59 25.5  4.70 7.3  8.01  6.02 -0.9 N4826   
N4395           17.30 35  85 0.07 -17.85 24.7  0.77 6.8 10.16  6.77  0.1 N4244   
UA281            1.27 42  30 0.00 -13.70 23.1  1.62 7.8  8.11  2.75 -1.0 N4736   
DDO126           4.18 52  33 0.00 -14.38 25.0  1.79 7.1  8.72  6.00  0.1 N4736   
DDO125           2.88 58  14 0.00 -14.16 24.4  0.46 6.7  7.80  0.87 -0.9 N4214   
U7584            1.57 62  16 0.00 -13.30 24.0  1.20 7.3  7.69  1.49 -0.1 N4826   
KKH80            1.85 49   5 0.00 -12.47 25.2  0.70 6.6  6.73  0.36 -0.1 N4826   
N4449            7.21 46  84 0.12 -18.27 22.3  1.05 7.9  9.78  1.89 -0.0 N4736   
DDO127           3.55 62  33 0.00 -14.28 24.8  1.75 7.2  8.66  5.65 -0.7 N4258   
U7605            1.35 44  16 0.00 -13.53 23.4  0.66 7.3  7.59  0.96  0.7 N4244   
N4460            8.92 77  55 0.16 -17.89 23.2  0.02 5.9  9.50  1.40 -0.7 N4144   
KK149            1.35 52  33 0.00 -14.06 22.9  0.41 7.3  8.24  2.67 -0.8 N4258   
U7639            5.04 47  23 0.00 -15.44 24.4  0.34 6.6  8.50  1.37  1.4 N4258   
KK151            2.00 67  15 0.00 -13.41 24.4  0.58 6.8  7.72  1.45 -0.4 N4258   
DDO133          10.87 48  32 0.00 -15.47 26.0  1.59 6.6  9.10  5.26 -1.1 N4826   
N4523            3.56 48  79 0.13 -14.91 24.2  1.36 7.3  9.42 18.21 -0.8 N4826   
KKSG29           3.28 67     0.00 -13.42 25.5                        2.2 N4594   
Arp211           1.24 57  12 0.00 -13.47 23.3  0.36 7.1  7.29  0.51 -0.7 N4258   
KKSG30           2.42 62  17 0.00 -12.68 25.6  1.10 6.6  7.90  4.36  1.2 N4594   
KKSG31           2.17 29     0.00 -12.27 25.7                        2.3 N4594   
UA292            0.85 47  13 0.00 -11.43 24.5  5.62 7.8  7.25  3.05 -0.4 N4214   
KKSG32           1.63 35     0.00 -11.55 25.8                        4.5 N4594   
